id;sample;species;part;year;biomass
LM_11_86;E.nigrum_B;E.nigrum;B;2011;0
LM_11_86;S.herbacea_Sb;S.herbacea;Sb;2011;0
LM_11_86;S.phylicifolia_Sb;S.phylicifolia;Sb;2011;0
LM_11_86;Vaccinium_B;Vaccinium;B;2011;100
LM_11_91;B.nana_C;B.nana;C;2011;0
LM_11_91;B.nana_IFR;B.nana;IFR;2011;0
LM_11_91;B.pubescens_C;B.pubescens;C;2011;0
LM_11_91;D.octopetala_L;D.octopetala;L;2011;0
LM_11_91;E.nigrum_B;E.nigrum;B;2011;53,44
LM_11_91;S.herbacea_Sb;S.herbacea;Sb;2011;0
LM_11_91;S.phylicifolia_Sb;S.phylicifolia;Sb;2011;0
LM_11_91;Vaccinium_B;Vaccinium;B;2011;0
LM_11_92;B.nana_C;B.nana;C;2011;0
LM_11_92;B.nana_IFR;B.nana;IFR;2011;0
LM_11_92;B.pubescens_C;B.pubescens;C;2011;0
LM_11_92;D.octopetala_L;D.octopetala;L;2011;0
LM_11_92;E.nigrum_B;E.nigrum;B;2011;61,62702577
LM_11_92;S.herbacea_Sb;S.herbacea;Sb;2011;0
LM_11_92;S.phylicifolia_Sb;S.phylicifolia;Sb;2011;0
LM_11_92;Vaccinium_B;Vaccinium;B;2011;0
LM_12_106;B.nana_C;B.nana;C;2012;0
LM_12_106;B.nana_IFR;B.nana;IFR;2012;0
LM_12_106;B.pubescens_C;B.pubescens;C;2012;0
LM_12_106;D.octopetala_L;D.octopetala;L;2012;0
LM_12_106;E.nigrum_B;E.nigrum;B;2012;48,94
LM_12_106;S.herbacea_Sb;S.herbacea;Sb;2012;0
LM_12_106;S.phylicifolia_Sb;S.phylicifolia;Sb;2012;0
