wavenumber;PC1
1759,04;-0,017080136
1757,111;-0,017690622
1755,182;-0,018173682
1753,254;-0,018092874
1751,325;-0,018141775
1749,396;-0,018924421
1747,467;-0,019433051
1745,539;-0,01918431
1743,61;-0,01849343
1741,681;-0,017421622
1739,752;-0,016038555
1737,824;-0,014616203
1735,895;-0,013502859
1733,966;-0,01292387
1732,037;-0,01291471
1730,108;-0,013110818
1728,18;-0,013560227
1726,251;-0,014444305
1724,322;-0,015601731
1722,393;-0,016584823
1720,465;-0,017000166
1718,536;-0,017177889
1716,607;-0,017531638
1714,678;-0,017964582
1712,749;-0,018315029
1710,821;-0,01839647
1708,892;-0,018080215
1706,963;-0,017550429
1705,034;-0,01706191
1703,106;-0,016613508
1701,177;-0,016159658
1699,248;-0,015704274
1697,319;-0,015219159
1695,391;-0,014635837
1693,462;-0,013622663
1691,533;-0,012272333
1689,604;-0,010639992
1687,675;-0,008710913
1685,747;-0,006237382
1683,818;-0,002699415
1681,889;0,000590554
1679,96;0,003334826
1678,032;0,00616812
1676,103;0,009298476
1674,174;0,012623084
1672,245;0,015624462
1670,316;0,018615012
1668,388;0,021854707
1666,459;0,024893691
1664,53;0,027924088
1662,601;0,031172574
1660,673;0,03417067
1658,744;0,036865542
1656,815;0,039528765
1654,886;0,042423366
1652,958;0,045699049
1651,029;0,047869556
1649,1;0,049257998
1647,171;0,050799806
1645,242;0,052099069
1643,314;0,053059499
1641,385;0,054254327
1639,456;0,055762938
1637,527;0,057496044
1635,599;0,059640673
1633,67;0,061734698
1631,741;0,063440912
1629,812;0,065244129
1627,884;0,067361246
1625,955;0,069422217
1624,026;0,071366509
1622,097;0,073226513
1620,168;0,074644869
1618,24;0,075852488
1616,311;0,076883554
1614,382;0,077210425
1612,453;0,077096808
1610,525;0,076867324
1608,596;0,076589106
1606,667;0,076024913
1604,738;0,074789645
1602,809;0,072809682
1600,881;0,070350951
1598,952;0,067616821
1597,023;0,064691021
1595,094;0,061768063
1593,166;0,059023573
1591,237;0,05640992
1589,308;0,053918699
1587,379;0,051611522
1585,451;0,049384018
1583,522;0,047252601
1581,593;0,045406432
1579,664;0,04393185
1577,735;0,042591815
1575,807;0,041162629
1573,878;0,040032444
1571,949;0,039296637
1570,02;0,038587199
1568,092;0,037947506
1566,163;0,037614627
1564,234;0,037629813
1562,305;0,037994977
1560,376;0,038829004
1558,448;0,040193445
1556,519;0,041058405
1554,59;0,041698115
1552,661;0,042509334
1550,733;0,043433154
1548,804;0,044268596
1546,875;0,044882663
1544,946;0,045359886
1543,018;0,045941804
1541,089;0,046670811
1539,16;0,0467397
1537,231;0,046391202
1535,302;0,046241269
1533,374;0,046259617
1531,445;0,04632189
1529,516;0,046322875
1527,587;0,046346305
1525,659;0,046533839
1523,73;0,046998054
1521,801;0,047913674
1519,872;0,049020578
1517,944;0,049810838
1516,015;0,049968517
1514,086;0,049242174
